Account: EVERYDAY CHECKING ...4412
Statement range: 07/01/2024 - 09/18/2026
Posting Date,Description,Amount,Type,Balance
07/01/2024,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,800.00
07/07/2024,VENMO PAYMENT 10239988,-32.33,DEBIT,767.67
07/08/2024,VENMO PAYMENT 10239988,-48.83,DEBIT,718.84
07/12/2024,CITY POWER & LIGHT ELECTRIC BILL PAY,-208.41,DEBIT,510.43
07/15/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2160.01,CREDIT,2670.44
07/16/2024,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,2370.44
07/18/2024,COMCAST XFINITY INTERNET,-79.99,DEBIT,2290.45
07/22/2024,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,2205.45
07/23/2024,UPWORK GLOBAL INC DIR DEP,466.10,CREDIT,2671.55
07/23/2024,VENMO PAYMENT 10239988,-44.49,DEBIT,2627.06
07/31/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2161.79,CREDIT,4788.85
08/01/2024,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,2938.85
08/09/2024,GEICO INSURANCE PREMIUM,-612.40,DEBIT,2326.45
08/12/2024,CITY POWER & LIGHT ELECTRIC BILL PAY,-233.06,DEBIT,2093.39
08/15/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2158.94,CREDIT,4252.33
08/16/2024,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,3952.33
08/18/2024,COMCAST XFINITY INTERNET,-79.99,DEBIT,3872.34
08/22/2024,ATM WITHDRAWAL 1200 MARKET ST,-60.00,DEBIT,3812.34
08/22/2024,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,3727.34
08/23/2024,UPWORK GLOBAL INC DIR DEP,806.81,CREDIT,4534.15
08/25/2024,AMEX EPAYMENT ACH PMT,-1430.34,DEBIT,3103.81
08/30/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2153.09,CREDIT,5256.90
09/01/2024,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,3406.90
09/07/2024,VENMO PAYMENT 10239988,-67.11,DEBIT,3339.79
09/12/2024,CITY POWER & LIGHT ELECTRIC BILL PAY,-138.47,DEBIT,3201.32
09/13/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2159.82,CREDIT,5361.14
09/13/2024,VENMO PAYMENT 10239988,-41.69,DEBIT,5319.45
09/14/2024,UPWORK GLOBAL INC DIR DEP,643.84,CREDIT,5963.29
09/16/2024,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,5663.29
09/18/2024,COMCAST XFINITY INTERNET,-79.99,DEBIT,5583.30
09/22/2024,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,5498.30
09/25/2024,AMEX EPAYMENT ACH PMT,-1188.61,DEBIT,4309.69
09/30/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2171.07,CREDIT,6480.76
10/01/2024,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,4630.76
10/03/2024,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,4627.26
10/03/2024,ATM WITHDRAWAL 1200 MARKET ST,-100.00,DEBIT,4527.26
10/12/2024,CITY POWER & LIGHT ELECTRIC BILL PAY,-97.19,DEBIT,4430.07
10/15/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2175.05,CREDIT,6605.12
10/16/2024,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,6305.12
10/18/2024,COMCAST XFINITY INTERNET,-79.99,DEBIT,6225.13
10/21/2024,VENMO PAYMENT 10239988,-57.83,DEBIT,6167.30
10/22/2024,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,6082.30
10/25/2024,AMEX EPAYMENT ACH PMT,-1436.43,DEBIT,4645.87
10/31/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2164.70,CREDIT,6810.57
11/01/2024,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,4960.57
11/08/2024,VENMO CASHOUT,39.10,CREDIT,4999.67
11/12/2024,CITY POWER & LIGHT ELECTRIC BILL PAY,-94.84,DEBIT,4904.83
11/15/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2164.81,CREDIT,7069.64
11/16/2024,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,6769.64
11/18/2024,COMCAST XFINITY INTERNET,-79.99,DEBIT,6689.65
11/21/2024,VENMO PAYMENT 10239988,-68.98,DEBIT,6620.67
11/22/2024,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,6535.67
11/25/2024,AMEX EPAYMENT ACH PMT,-609.74,DEBIT,5925.93
11/26/2024,UPWORK GLOBAL INC DIR DEP,489.47,CREDIT,6415.40
11/29/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2161.75,CREDIT,8577.15
11/29/2024,VENMO PAYMENT 10239988,-64.21,DEBIT,8512.94
12/01/2024,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,6662.94
12/12/2024,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,6622.94
12/12/2024,VENMO PAYMENT 10239988,-46.30,DEBIT,6576.64
12/12/2024,CITY POWER & LIGHT ELECTRIC BILL PAY,-127.84,DEBIT,6448.80
12/13/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2158.36,CREDIT,8607.16
12/16/2024,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,8307.16
12/18/2024,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,8303.66
12/18/2024,ATM WITHDRAWAL 1200 MARKET ST,-60.00,DEBIT,8243.66
12/18/2024,COMCAST XFINITY INTERNET,-79.99,DEBIT,8163.67
12/22/2024,VENMO PAYMENT 10239988,-67.00,DEBIT,8096.67
12/22/2024,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,8011.67
12/25/2024,AMEX EPAYMENT ACH PMT,-2181.65,DEBIT,5830.02
12/26/2024,UPWORK GLOBAL INC DIR DEP,844.29,CREDIT,6674.31
12/26/2024,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,6670.81
12/26/2024,ATM WITHDRAWAL 1200 MARKET ST,-60.00,DEBIT,6610.81
12/31/2024,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2161.84,CREDIT,8772.65
01/01/2025,ATM WITHDRAWAL 1200 MARKET ST,-80.00,DEBIT,8692.65
01/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,6842.65
01/07/2025,VENMO CASHOUT,25.63,CREDIT,6868.28
01/11/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,6864.78
01/11/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,6824.78
01/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-161.15,DEBIT,6663.63
01/15/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2154.53,CREDIT,8818.16
01/15/2025,VENMO PAYMENT 10239988,-48.38,DEBIT,8769.78
01/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,8469.78
01/18/2025,COMCAST XFINITY INTERNET,-79.99,DEBIT,8389.79
01/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,8304.79
01/25/2025,AMEX EPAYMENT ACH PMT,-1885.04,DEBIT,6419.75
01/27/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,6416.25
01/27/2025,ATM WITHDRAWAL 1200 MARKET ST,-100.00,DEBIT,6316.25
01/31/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2168.72,CREDIT,8484.97
02/01/2025,ATM WITHDRAWAL 1200 MARKET ST,-80.00,DEBIT,8404.97
02/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,6554.97
02/02/2025,VENMO PAYMENT 10239988,-42.76,DEBIT,6512.21
02/02/2025,ATM WITHDRAWAL 1200 MARKET ST,-100.00,DEBIT,6412.21
02/04/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,6408.71
02/04/2025,ATM WITHDRAWAL 1200 MARKET ST,-120.00,DEBIT,6288.71
02/08/2025,VENMO CASHOUT,22.27,CREDIT,6310.98
02/09/2025,GEICO INSURANCE PREMIUM,-655.80,DEBIT,5655.18
02/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-166.37,DEBIT,5488.81
02/14/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2163.04,CREDIT,7651.85
02/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,7351.85
02/18/2025,COMCAST XFINITY INTERNET,-79.99,DEBIT,7271.86
02/22/2025,ATM WITHDRAWAL 1200 MARKET ST,-80.00,DEBIT,7191.86
02/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,7106.86
02/24/2025,VENMO PAYMENT 10239988,-36.66,DEBIT,7070.20
02/25/2025,AMEX EPAYMENT ACH PMT,-1706.13,DEBIT,5364.07
02/26/2025,VENMO PAYMENT 10239988,-27.59,DEBIT,5336.48
02/27/2025,ATM WITHDRAWAL 1200 MARKET ST,-40.00,DEBIT,5296.48
02/28/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2162.26,CREDIT,7458.74
03/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,5608.74
03/11/2025,VENMO PAYMENT 10239988,-32.42,DEBIT,5576.32
03/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-154.40,DEBIT,5421.92
03/14/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2301.50,CREDIT,7723.42
03/15/2025,VENMO PAYMENT 10239988,-56.62,DEBIT,7666.80
03/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,7366.80
03/18/2025,COMCAST XFINITY INTERNET,-79.99,DEBIT,7286.81
03/20/2025,UPWORK GLOBAL INC DIR DEP,824.85,CREDIT,8111.66
03/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,8026.66
03/25/2025,AMEX EPAYMENT ACH PMT,-1979.16,DEBIT,6047.50
03/31/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2301.03,CREDIT,8348.53
04/01/2025,ZELLE PAYMENT TO OAKRIDGE APARTMENTS LLC,-1850.00,DEBIT,6498.53
04/09/2025,VENMO PAYMENT 10239988,-21.36,DEBIT,6477.17
04/10/2025,NON-CHASE ATM FEE-WITH,-3.50,DEBIT,6473.67
04/10/2025,ATM WITHDRAWAL 1200 MARKET ST,-100.00,DEBIT,6373.67
04/12/2025,CITY POWER & LIGHT ELECTRIC BILL PAY,-80.74,DEBIT,6292.93
04/15/2025,ACME ROBOTICS PAYROLL DIR DEP PPD ID: 99812,2302.60,CREDIT,8595.53
04/16/2025,ONLINE TRANSFER TO SAVINGS XXXXXX4412,-300.00,DEBIT,8295.53
04/18/2025,COMCAST XFINITY INTERNET,-79.99,DEBIT,8215.54
04/22/2025,T-MOBILE AUTOPAY WIRELESS,-85.00,DEBIT,8130.54
04/25/2025,AMEX EPAYMENT ACH PMT,-1814.16,DEBIT,6316.38
